id,title,provider,url,rating,duration_hours,level,category,target_role,is_free,price_display,skills
be_free_2,Redis University: In-Memory Caching & Real-Time Data,Redis University,https://university.redis.com/,4.9,12,Intermediate,Backend & APIs,Backend Engineer,True,100% Free,"Redis, Caching, In-Memory Data, PubSub, Rate Limiting, High Availability"
be_free_3,"Node.js, Express & MongoDB Backend Mastery",freeCodeCamp,https://www.freecodecamp.org/learn/back-end-development-and-apis/,4.8,30,Beginner,Backend & APIs,Backend Engineer,True,100% Free,"Node.js, Express, REST API, MongoDB, Mongoose, JWT, Auth"
be_free_4,Distributed Systems Architecture & Protocols,MIT OpenCourseWare,https://ocw.mit.edu/courses/6-824-distributed-computer-systems-engineering-spring-2018/,4.9,45,Advanced,Backend & APIs,Backend Engineer,True,100% Free,"Distributed Systems, Raft, Consensus, RPC, Scalability, Fault Tolerance"
be_paid_1,FastAPI: Modern Python Async Web APIs & Microservices,Udemy (Eric Roby),https://www.udemy.com/course/fastapi-the-complete-course/,4.8,22,Intermediate,Backend & APIs,Backend Engineer,False,$14.99,"FastAPI, Python, REST API, Pydantic, Async, JWT, Swagger, Docker"
be_paid_2,Complete Node.js Developer in 2026: Zero to Mastery,Zero To Mastery,https://zerotomastery.io/courses/learn-node-js/,4.8,42,Intermediate,Backend & APIs,Backend Engineer,False,$39/mo,"Node.js, Express, Microservices, WebSockets, PostgreSQL, GraphQL, Docker"
be_paid_3,Go: The Complete Developer Guide (Golang),Udemy (Stephen Grider),https://www.udemy.com/course/go-the-complete-developers-guide/,4.8,24,Intermediate,Backend & APIs,Backend Engineer,False,$15.99,"Go, Golang, Concurrency, Channels, Structs, Interfaces, Unit Testing"
be_paid_4,High Performance Microservices in Go (gRPC & Protobuf),Udemy (Packt),https://www.udemy.com/course/grpc-golang-microservices/,4.8,18,Advanced,Backend & APIs,Backend Engineer,False,$14.99,"Go, gRPC, Protobuf, Microservices, HTTP2, Streaming RPC, Service Discovery"
be_paid_5,Apache Kafka Series: Event-Driven Real-Time Architecture,Udemy (Stephane Maarek),https://www.udemy.com/course/apache-kafka/,4.8,16,Intermediate,Backend & APIs,Backend Engineer,False,$14.99,"Kafka, Event Streaming, Distributed Systems, PubSub, Kafka Connect"
be_paid_6,Spring Boot 3 & Spring Cloud Microservices Masterclass,Udemy (In28Minutes),https://www.udemy.com/course/microservices-with-spring-boot-and-spring-cloud/,4.7,36,Intermediate,Backend & APIs,Backend Engineer,False,$16.99,"Spring Boot, Java, Microservices, Spring Cloud, Docker, Eureka, OpenFeign"
be_paid_7,Rust Programming: High-Performance Safe Systems,Udemy (Trevor Sullivan),https://www.udemy.com/course/rust-programming-for-beginners/,4.8,28,Intermediate,Backend & APIs,Backend Engineer,False,$15.99,"Rust, Systems Programming, Memory Safety, Concurrency, Cargo, WebAssembly"
fs_free_1,Full Stack Open 2026: Deep Dive into Modern Web Dev,University of Helsinki,https://fullstackopen.com/en/,4.9,80,Intermediate,Full Stack Development,Full Stack Engineer,True,100% Free,"React, Redux, Node.js, Express, MongoDB, GraphQL, TypeScript, CI/CD"
fs_free_2,The Odin Project: Full Stack JavaScript Curriculum,The Odin Project,https://www.theodinproject.com/paths/full-stack-javascript,4.9,100,Beginner,Full Stack Development,Full Stack Engineer,True,100% Free,"HTML, CSS, JavaScript, React, Node.js, Express, PostgreSQL, Git"
fs_free_3,CS50 Introduction to Computer Science,Harvard Online / edX,https://www.edx.org/cs50,4.9,70,Beginner,Full Stack Development,Full Stack Engineer,True,100% Free,"C, Python, SQL, Algorithms, Data Structures, Web Fundamentals"
fs_paid_1,The Complete 2026 Web Development Bootcamp,Udemy (Dr. Angela Yu),https://www.udemy.com/course/the-complete-web-development-bootcamp/,4.8,65,Beginner,Full Stack Development,Full Stack Engineer,False,$17.99,"React, Node.js, Express, PostgreSQL, Web3, Git, Authentication, REST"
fs_paid_2,Full Stack Modern Web Development (React & Node),Frontend Masters,https://frontendmasters.com/courses/full-stack-v3/,4.9,38,Advanced,Full Stack Development,Full Stack Engineer,False,$39/mo,"React, Node.js, GraphQL, REST API, TypeScript, Vite, Monorepos"
fs_paid_3,GraphQL with Node.js & React: The Complete Guide,Udemy (Stephen Grider),https://www.udemy.com/course/graphql-with-react-course/,4.7,16,Intermediate,Full Stack Development,Full Stack Engineer,False,$13.99,"GraphQL, Apollo, React, Node.js, Schemas, Resolvers, Mutations"
fs_paid_4,Master the Coding Interview: Data Structures & Algorithms,Zero To Mastery,https://zerotomastery.io/courses/master-the-coding-interview-data-structures-algorithms/,4.8,35,Intermediate,Full Stack Development,Full Stack Engineer,False,$39/mo,"Data Structures, Algorithms, Big O, Dynamic Programming, LeetCode, Graphs"
ai_free_1,Machine Learning Specialization,Coursera (Stanford & DeepLearning.AI),https://www.coursera.org/specializations/machine-learning-introduction,4.9,50,Beginner,AI & Machine Learning,AI & Machine Learning Engineer,True,Free (Audit),"Machine Learning, Scikit-Learn, Supervised Learning, Logistic Regression, Python"
ai_free_2,Generative AI with Large Language Models (LLMs),Coursera (AWS & DeepLearning.AI),https://www.coursera.org/learn/generative-ai-with-llms,4.9,32,Intermediate,AI & Machine Learning,AI & Machine Learning Engineer,True,Free (Audit),"Generative AI, LLM, Fine-Tuning, PEFT, LoRA, RLHF, Transformers, LangChain"
ai_free_3,LangChain & Vector Databases for Production RAG,DeepLearning.AI,https://www.deeplearning.ai/short-courses/,4.8,12,Intermediate,AI & Machine Learning,AI & Machine Learning Engineer,True,100% Free,"RAG, LangChain, Vector Databases, Pinecone, ChromaDB, Embeddings, LLM"
ai_free_4,AI Agents & Autonomous Multi-Agent Workflows,DeepLearning.AI,https://www.deeplearning.ai/short-courses/multi-ai-agent-systems-with-crewai/,4.9,14,Advanced,AI & Machine Learning,AI & Machine Learning Engineer,True,100% Free,"AI Agents, CrewAI, AutoGen, Function Calling, Prompt Engineering, Python"
ai_free_5,Practical Deep Learning for Coders (fast.ai),fast.ai,https://course.fast.ai/,4.9,45,Intermediate,AI & Machine Learning,AI & Machine Learning Engineer,True,100% Free,"PyTorch, Deep Learning, Computer Vision, NLP, Model Deployment, Ensembling"
ai_free_6,Hugging Face Transformers & Open Source NLP Course,Hugging Face,https://huggingface.co/learn/nlp-course/,4.9,30,Intermediate,AI & Machine Learning,AI & Machine Learning Engineer,True,100% Free,"Transformers, BERT, HuggingFace, Tokenizers, Fine-Tuning, Model Hub"
ai_free_7,Prompt Engineering for Generative AI,Coursera (Vanderbilt),https://www.coursera.org/learn/prompt-engineering,4.7,18,Beginner,AI & Machine Learning,AI & Machine Learning Engineer,True,Free (Audit),"Prompt Engineering, ChatGPT, LLM, Few-Shot Prompting, Chain of Thought"
ai_paid_1,Deep Learning Specialization (Neural Networks & CNNs),Coursera (DeepLearning.AI),https://www.coursera.org/specializations/deep-learning,4.9,60,Intermediate,AI & Machine Learning,AI & Machine Learning Engineer,False,$49/mo,"Deep Learning, PyTorch, TensorFlow, Neural Networks, Computer Vision, Optimization"
ai_paid_2,Natural Language Processing Specialization,Coursera (DeepLearning.AI),https://www.coursera.org/specializations/natural-language-processing,4.8,45,Advanced,AI & Machine Learning,AI & Machine Learning Engineer,False,$49/mo,"NLP, Transformers, BERT, HuggingFace, Attention Mechanisms, SBERT"
ai_paid_3,PyTorch for Deep Learning Bootcamp 2026,Zero To Mastery,https://zerotomastery.io/courses/learn-pytorch/,4.8,44,Intermediate,AI & Machine Learning,AI & Machine Learning Engineer,False,$39/mo,"PyTorch, Deep Learning, Computer Vision, Transformers, Model Deployment"
ai_paid_4,AI Engineering & MLOps with Kubeflow and MLflow,Coursera (DeepLearning.AI),https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops,4.8,38,Advanced,AI & Machine Learning,AI & Machine Learning Engineer,False,$49/mo,"MLOps, Kubeflow, MLflow, Model Monitoring, CI/CD for ML, Docker, Kubernetes"
ai_paid_5,Generative AI & LLM App Development with Python,Udemy (Frank Kane),https://www.udemy.com/course/generative-ai-bootcamp/,4.8,24,Intermediate,AI & Machine Learning,AI & Machine Learning Engineer,False,$14.99,"Generative AI, OpenAI, LangChain, LlamaIndex, Streamlit, Vector Search"
ai_paid_6,Complete A.I. & Machine Learning Bootcamp 2026,Zero To Mastery,https://zerotomastery.io/courses/complete-machine-learning-and-data-science-bootcamp/,4.8,44,Beginner,AI & Machine Learning,AI & Machine Learning Engineer,False,$39/mo,"Machine Learning, Python, Scikit-Learn, Pandas, NumPy, Deep Learning"
devops_free_1,Linux Command Line and Bash Automation Fundamentals,Coursera (The Linux Foundation),https://www.coursera.org/learn/linux-fundamentals,4.8,20,Beginner,Cloud & DevOps,Cloud & DevOps Architect,True,100% Free,"Linux, Bash, Shell Scripting, CLI, Cron, Permissions, System Administration"
devops_free_2,Docker for Beginners: From Containers to Production,freeCodeCamp,https://www.freecodecamp.org/news/what-is-docker-learn-how-to-use-containers-with-docker-step-by-step/,4.8,10,Beginner,Cloud & DevOps,Cloud & DevOps Architect,True,100% Free,"Docker, Containers, Dockerfile, Docker Compose, Volumes, Networking"
devops_free_3,"Kubernetes 101: Pods, Deployments & Service Ingress",CNCF / edX,https://www.edx.org/course/introduction-to-kubernetes,4.8,16,Intermediate,Cloud & DevOps,Cloud & DevOps Architect,True,Free (Audit),"Kubernetes, Pods, Deployments, Services, ConfigMaps, Ingress, kubectl"
devops_free_4,AWS Cloud Practitioner Essentials,AWS Skill Builder,https://explore.skillbuilder.aws/learn/course/external/view/elearning/134/aws-cloud-practitioner-essentials,4.8,12,Beginner,Cloud & DevOps,Cloud & DevOps Architect,True,100% Free,"AWS, Cloud Computing, EC2, S3, IAM, Cloud Security, Billing"
devops_paid_1,Docker and Kubernetes: The Complete Developer Guide,Udemy (Stephen Grider),https://www.udemy.com/course/docker-and-kubernetes-the-complete-guide/,4.8,26,Intermediate,Cloud & DevOps,Cloud & DevOps Architect,False,$15.99,"Docker, Kubernetes, CI/CD, Containerization, Microservices, Helm, Ingress"
devops_paid_2,Certified Kubernetes Administrator (CKA) with Practice Tests,KodeKloud / Udemy (Mumshad Mannambeth),https://www.udemy.com/course/certified-kubernetes-administrator-with-practice-tests/,4.9,32,Advanced,Cloud & DevOps,Cloud & DevOps Architect,False,$19.99,"Kubernetes, CKA, Pods, Services, Storage, Cluster Networking, Troubleshooting"
devops_paid_3,AWS Certified Solutions Architect Associate (SAA-C03),Udemy (Stephane Maarek),https://www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c03/,4.8,30,Intermediate,Cloud & DevOps,Cloud & DevOps Architect,False,$17.99,"AWS, Cloud Architecture, EC2, S3, RDS, Serverless, IAM, VPC"
devops_paid_4,Google Cloud Professional Cloud Architect Certification,Coursera (Google Cloud),https://www.coursera.org/professional-certificates/gcp-cloud-architect,4.8,40,Advanced,Cloud & DevOps,Cloud & DevOps Architect,False,$49/mo,"GCP, Google Cloud, BigQuery, GKE, Kubernetes, Cloud IAM, Cloud Security"
devops_paid_5,"Terraform for AWS, Azure & Google Cloud (IaC Masterclass)",Udemy (Zeal Vora),https://www.udemy.com/course/terraform-beginner-to-advanced/,4.7,18,Intermediate,Cloud & DevOps,Cloud & DevOps Architect,False,$13.99,"Terraform, Infrastructure as Code, AWS, Cloud Automation, HCL, Modules"
devops_paid_6,CI/CD with GitHub Actions & ArgoCD GitOps,KodeKloud,https://kodekloud.com/courses/github-actions/,4.8,15,Intermediate,Cloud & DevOps,Cloud & DevOps Architect,False,$24/mo,"CI/CD, GitHub Actions, GitOps, ArgoCD, Automated Testing, Pipelines"
devops_paid_7,"Full Stack Serverless on AWS (Lambda, DynamoDB & CDK)",A Cloud Guru / Pluralsight,https://www.pluralsight.com/courses/aws-serverless-deep-dive,4.8,22,Intermediate,Cloud & DevOps,Cloud & DevOps Architect,False,$29/mo,"AWS, Serverless, Lambda, DynamoDB, API Gateway, CloudFormation, CDK"
de_free_1,dbt Fundamentals & Modern Analytics Engineering,dbt Labs,https://courses.getdbt.com/courses/dbt-fundamentals,4.9,10,Intermediate,Database & Big Data,Data Engineer,True,100% Free,"dbt, Data Modeling, SQL, BigQuery, Snowflake, Data Warehousing, ELT"
de_free_2,Data Engineering Zoomcamp (Free Batch & Streaming Course),DataTalksClub,https://github.com/DataTalksClub/data-engineering-zoomcamp,4.9,40,Intermediate,Database & Big Data,Data Engineer,True,100% Free,"Data Engineering, Docker, Terraform, GCP, Spark, Kafka, Airflow, dbt"
de_free_3,SQL for Data Science & Analytics,Coursera (UC Davis),https://www.coursera.org/learn/sql-for-data-science,4.7,20,Beginner,Database & Big Data,Data Engineer,True,Free (Audit),"SQL, SQLite, Filtering, Data Aggregation, Joins, Data Wrangling"
de_paid_1,Data Engineering on Google Cloud Platform Specialization,Coursera (Google Cloud),https://www.coursera.org/professional-certificates/gcp-data-engineering,4.8,48,Advanced,Database & Big Data,Data Engineer,False,$49/mo,"Data Engineering, BigQuery, Dataflow, Apache Beam, Dataproc, Spark, GCS"
de_paid_2,Apache Spark 3 & Python for Big Data (PySpark),Udemy (Jose Portilla),https://www.udemy.com/course/spark-and-python-for-big-data-with-pyspark/,4.7,24,Intermediate,Database & Big Data,Data Engineer,False,$15.99,"Spark, PySpark, Big Data, Hadoop, Data Engineering, Streaming, MLlib"
de_paid_3,Snowflake Masterclass for Cloud Data Engineers,Udemy (Hamid Mahmood),https://www.udemy.com/course/ultimate-snowpro-core-certification-course/,4.8,20,Intermediate,Database & Big Data,Data Engineer,False,$16.99,"Snowflake, Cloud Data Warehouse, SQL, Zero-Copy Clone, Time Travel, Snowpipe"
de_paid_4,PostgreSQL Bootcamp: Performance Tuning & Indexing,Udemy (Jose Portilla),https://www.udemy.com/course/the-complete-python-postgresql-developer-course/,4.8,26,Intermediate,Database & Big Data,Data Engineer,False,$14.99,"PostgreSQL, SQL, Database Indexing, Query Optimization, ACID, Transactions"
de_paid_5,Complete SQL Bootcamp: Go from Zero to Hero,Udemy (Jose Portilla),https://www.udemy.com/course/the-complete-sql-bootcamp/,4.8,15,Beginner,Database & Big Data,Data Engineer,False,$13.99,"SQL, PostgreSQL, Database Design, Joins, Group By, Window Functions"
de_paid_6,MongoDB: The Complete Developer Guide (NoSQL & Aggregations),Udemy (Maximilian Schwarzmüller),https://www.udemy.com/course/nodejs-express-mongodb-bootcamp/,4.7,18,Beginner,Database & Big Data,Data Engineer,False,$14.99,"MongoDB, NoSQL, Aggregation Pipeline, Mongoose, Atlas, Document Storage"
sec_free_1,Web Security & Penetration Testing (OWASP Top 10),Coursera (Infosec Institute),https://www.coursera.org/learn/web-application-security,4.7,20,Intermediate,Cybersecurity,Cybersecurity Specialist,True,Free (Audit),"Security, OWASP, Penetration Testing, SQL Injection, XSS, Vulnerabilities"
sec_free_2,Introduction to Cybersecurity & Threat Defense,Cisco / SkillsForAll,https://skillsforall.com/course/introduction-to-cybersecurity,4.8,15,Beginner,Cybersecurity,Cybersecurity Specialist,True,100% Free,"Cybersecurity, Network Security, Malware, Phishing, Firewalls, Encryption"
sec_free_3,Ethical Hacking & Network Defense Complete Course,freeCodeCamp,https://www.freecodecamp.org/news/free-ethical-hacking-course-for-beginners/,4.8,25,Intermediate,Cybersecurity,Cybersecurity Specialist,True,100% Free,"Ethical Hacking, Kali Linux, Nmap, Metasploit, Wireshark, Port Scanning"
sec_paid_1,CompTIA Security+ (SY0-701) Complete Training Bootcamp,Udemy (Jason Dion),https://www.udemy.com/course/securityplus/,4.8,28,Intermediate,Cybersecurity,Cybersecurity Specialist,False,$17.99,"Cybersecurity, Network Security, Cryptography, Identity Access, Threat Modeling"
sec_paid_2,Practical Ethical Hacking - The Complete Course,TCM Security Academy,https://academy.tcm-sec.com/p/practical-ethical-hacking-the-complete-course,4.9,25,Intermediate,Cybersecurity,Cybersecurity Specialist,False,$29.99,"Ethical Hacking, Penetration Testing, Active Directory, Exploitation, OSINT"
sec_paid_3,AWS Certified Security Specialty Masterclass,Udemy (Stephane Maarek),https://www.udemy.com/course/aws-certified-security-specialty/,4.8,20,Advanced,Cybersecurity,Cybersecurity Specialist,False,$18.99,"AWS Security, IAM, KMS, GuardDuty, Security Hub, WAF, CloudTrail"
sd_free_1,System Design Primer & Scalability Blueprints,GitHub (Donne Martin) / Open Source,https://github.com/donnemartin/system-design-primer,4.9,30,Intermediate,System Design & Architecture,System Architect,True,100% Free,"System Design, Scalability, Load Balancing, Caching, CDN, Sharding, CAP"
sd_free_2,Software Architecture Fundamentals & Clean Architecture,freeCodeCamp,https://www.freecodecamp.org/news/software-architecture-design-patterns-course/,4.8,12,Intermediate,System Design & Architecture,System Architect,True,100% Free,"Clean Architecture, Design Patterns, SOLID, Domain Driven Design, Microservices"
sd_paid_1,Grokking Modern System Design Interview for Software Engineers,Educative,https://www.educative.io/courses/grokking-the-system-design-interview,4.9,25,Advanced,System Design & Architecture,System Architect,False,$29/mo,"System Design, Scalability, Load Balancing, Caching, Database Sharding, Microservices"
sd_paid_2,Pragmatic System Design & Microservices Patterns in Production,Zero To Mastery,https://zerotomastery.io/courses/system-design-interview-bootcamp/,4.8,22,Advanced,System Design & Architecture,System Architect,False,$39/mo,"System Design, Event Driven Architecture, Message Queues, Resiliency, SLA"
mob_free_1,Android Development with Kotlin & Jetpack Compose,Google / Android Developers,https://developer.android.com/courses/android-basics-compose/course,4.9,35,Intermediate,Mobile Engineering,Mobile App Engineer,True,100% Free,"Kotlin, Android, Jetpack Compose, Coroutines, MVVM, Material Design, Room"
mob_free_2,React Native & Expo Crash Course for Beginners,freeCodeCamp,https://www.freecodecamp.org/news/learn-react-native-by-building-apps/,4.8,15,Beginner,Mobile Engineering,Mobile App Engineer,True,100% Free,"React Native, Expo, Mobile UI, Navigation, Cross-Platform, JavaScript"
mob_paid_1,Flutter & Dart - The Complete Guide (2026 Edition),Udemy (Academind),https://www.udemy.com/course/learn-flutter-dart-to-build-ios-android-apps/,4.8,40,Intermediate,Mobile Engineering,Mobile App Engineer,False,$16.99,"Flutter, Dart, Mobile Apps, iOS, Android, State Management, Provider, BLoC"
mob_paid_2,iOS 18 & Swift 6 - The Complete App Development Bootcamp,Udemy (Angela Yu),https://www.udemy.com/course/ios-13-app-development-bootcamp/,4.8,55,Intermediate,Mobile Engineering,Mobile App Engineer,False,$19.99,"Swift, iOS, SwiftUI, CoreData, Xcode, Mobile UI, Apple Developer"
